Source Well, Destination Well,Transfer Volume
A1,C3,1500
L1,C3,1500
B1,C3,75
C1,C3,75
D1,C3,75
E1,C3,75
F1,C3,75
G1,C3,75
H1,C3,75
I1,C3,75
J1,C3,75
K1,C3,75
M1,D3,1500
G2,D3,1500
N1,D3,75
O1,D3,75
P1,D3,75
A2,D3,75
B2,D3,75
C2,D3,75
D2,D3,75
E2,D3,75
F2,D3,75
